Timestamp,CT_R (A),CT_Y (A),CT_B (A)
2025-06-29 10:08:18,0.37,0.12,0.06
2025-06-29 10:09:18,0.36,0.08,0.06
2025-06-29 10:10:19,0.36,0.11,0.06
2025-06-29 10:11:19,0.37,0.14,0.06
2025-06-29 10:12:20,0.72,0.29,0.06
2025-06-29 10:13:20,1.13,0.3,0.06
2025-06-29 10:14:21,1.28,0.52,0.06
2025-06-29 10:15:21,1.45,0.16,0.06
2025-06-29 10:16:22,1.44,0.14,0.06
2025-06-29 10:17:22,1.43,0.15,0.06
2025-06-29 10:18:23,1.44,0.16,0.06
2025-06-29 10:19:23,1.43,0.15,0.06
2025-06-29 10:20:24,1.45,0.64,0.06
2025-06-29 10:21:24,1.35,0.53,0.06
2025-06-29 10:22:25,1.43,0.31,0.06
2025-06-29 10:23:25,1.44,0.22,0.06
2025-06-29 10:24:26,1.45,0.1,0.06
2025-06-29 10:25:27,1.43,0.54,0.06
2025-06-29 10:26:27,1.35,0.56,0.06
2025-06-29 10:27:28,1.57,0.2,0.06
2025-06-29 10:28:28,1.55,0.19,0.06
2025-06-29 10:29:29,1.59,0.15,0.06
2025-06-29 10:30:29,1.57,0.41,0.06
2025-06-29 10:31:30,1.59,0.7,0.06
2025-06-29 10:32:30,1.59,0.25,0.06
2025-06-29 10:33:31,1.59,0.18,0.06
2025-06-29 10:34:31,1.59,0.22,0.06
2025-06-29 10:35:32,1.49,0.35,0.06
2025-06-29 10:36:32,1.45,0.45,0.06
2025-06-29 10:37:33,1.55,0.15,0.06
2025-06-29 10:38:33,1.51,0.21,0.06
2025-06-29 10:39:34,1.52,0.16,0.06
2025-06-29 10:40:34,1.41,0.57,0.06
2025-06-29 10:41:35,1.52,0.17,0.06
2025-06-29 10:42:35,1.53,0.2,0.06
2025-06-29 10:43:36,1.51,0.24,0.06
2025-06-29 10:44:36,1.53,0.11,0.06
2025-06-29 10:45:37,1.51,0.17,0.06
2025-06-29 10:46:29,1.42,0.16,0.06
2025-06-29 10:47:30,0.56,0.23,0.06
2025-06-29 10:48:31,0.36,0.12,0.06
2025-06-29 10:49:31,0.34,0.12,0.06
2025-06-29 10:50:32,0.37,0.09,0.06
2025-06-29 10:51:32,0.37,0.09,0.06
2025-06-29 10:52:33,0.36,0.09,0.06
2025-06-29 10:53:33,0.36,0.09,0.06
2025-06-29 10:54:34,0.36,0.07,0.06
2025-06-29 10:55:34,0.36,0.11,0.06
2025-06-29 10:56:35,0.35,0.09,0.06
2025-06-29 10:57:35,0.36,0.15,0.06
2025-06-29 10:58:36,0.34,0.11,0.06
2025-06-29 10:59:36,0.34,0.11,0.06
2025-06-29 11:00:37,0.35,0.1,0.06
2025-06-29 11:01:37,0.34,0.11,0.06
2025-06-29 11:02:38,0.35,0.15,0.06
2025-06-29 11:03:38,0.35,0.13,0.06
2025-06-29 11:04:39,0.34,0.11,0.06
2025-06-29 11:05:39,0.36,0.09,0.06
2025-06-29 11:06:40,0.37,0.11,0.06
2025-06-29 11:07:40,0.36,0.12,0.06
2025-06-29 11:08:41,0.35,0.09,0.06
2025-06-29 11:09:41,0.34,0.12,0.06
2025-06-29 11:10:42,0.37,0.09,0.06
2025-06-29 11:11:43,0.37,0.09,0.06
2025-06-29 11:12:43,0.36,0.09,0.06
2025-06-29 11:13:44,0.37,0.1,0.06
2025-06-29 11:14:44,0.37,0.1,0.06
2025-06-29 11:15:45,0.35,0.1,0.06
2025-06-29 11:16:45,0.36,0.07,0.06
2025-06-29 11:17:46,0.34,0.1,0.06
2025-06-29 11:18:46,0.35,0.15,0.06
2025-06-29 11:19:47,0.35,0.11,0.06
2025-06-29 11:20:47,0.36,0.09,0.06
2025-06-29 11:21:48,0.34,0.11,0.06
2025-06-29 11:22:48,0.34,0.09,0.06
2025-06-29 11:23:49,0.38,0.14,0.06
2025-06-29 11:24:49,0.34,0.12,0.06
2025-06-29 11:25:50,0.36,0.07,0.06
2025-06-29 11:26:50,0.36,0.15,0.06
2025-06-29 11:27:51,0.35,0.1,0.06
2025-06-29 11:28:51,0.36,0.08,0.06
2025-06-29 11:29:52,0.36,0.12,0.06
2025-06-29 11:30:52,0.34,0.12,0.06
2025-06-29 11:31:53,0.35,0.1,0.06
2025-06-29 11:32:53,0.36,0.1,0.06
2025-06-29 11:33:54,0.36,0.12,0.06
2025-06-29 11:34:55,0.36,0.07,0.06
2025-06-29 11:35:55,0.36,0.11,0.06
2025-06-29 11:36:56,0.36,0.12,0.06
2025-06-29 11:37:56,0.35,0.11,0.06
2025-06-29 11:38:57,0.35,0.11,0.06
2025-06-29 11:39:57,0.36,0.09,0.06
2025-06-29 11:40:58,0.34,0.1,0.06
2025-06-29 11:41:58,0.36,0.1,0.06
2025-06-29 11:42:59,0.34,0.1,0.06
2025-06-29 11:43:59,0.36,0.08,0.06
2025-06-29 11:45:00,0.37,0.15,0.06
2025-06-29 11:46:00,0.37,0.1,0.06
2025-06-29 11:46:53,0.37,0.1,0.06
2025-06-29 11:47:53,0.38,0.09,0.06
2025-06-29 11:48:54,0.34,0.12,0.06
2025-06-29 11:49:54,0.38,0.1,0.06
2025-06-29 11:50:55,0.36,0.08,0.06
2025-06-29 11:51:55,0.35,0.12,0.06
2025-06-29 11:52:56,0.37,0.12,0.06
2025-06-29 11:53:56,0.36,0.15,0.06
2025-06-29 11:54:57,0.37,0.1,0.06
2025-06-29 11:55:57,0.36,0.14,0.06
2025-06-29 11:56:58,0.36,0.12,0.06
2025-06-29 11:57:58,0.36,0.12,0.06
2025-06-29 11:58:59,0.37,0.09,0.06
2025-06-29 11:59:59,0.37,0.12,0.06
2025-06-29 12:01:00,0.35,0.13,0.06
2025-06-29 12:02:00,0.36,0.1,0.06
2025-06-29 12:03:01,0.36,0.08,0.06
2025-06-29 12:04:02,0.36,0.14,0.06
2025-06-29 12:05:02,0.35,0.1,0.06
2025-06-29 12:06:03,0.35,0.11,0.06
2025-06-29 12:07:03,0.36,0.1,0.06
2025-06-29 12:08:04,0.35,0.1,0.06
2025-06-29 12:09:04,0.36,0.11,0.06
2025-06-29 12:10:05,0.35,0.1,0.06
2025-06-29 12:11:05,0.38,0.1,0.06
2025-06-29 12:12:06,0.35,0.12,0.06
2025-06-29 12:13:06,0.37,0.1,0.06
2025-06-29 12:14:07,0.37,0.12,0.06
2025-06-29 12:15:07,0.36,0.12,0.06
2025-06-29 12:16:08,0.35,0.12,0.06
2025-06-29 12:17:08,0.35,0.11,0.06
2025-06-29 12:18:09,0.35,0.1,0.06
2025-06-29 12:19:09,0.35,0.07,0.06
2025-06-29 12:20:10,0.36,0.1,0.06
2025-06-29 12:21:10,0.36,0.08,0.06
2025-06-29 12:22:11,0.36,0.12,0.06
2025-06-29 12:23:11,0.36,0.12,0.06
2025-06-29 12:24:12,0.34,0.1,0.06
2025-06-29 12:25:12,0.38,0.1,0.06
2025-06-29 12:26:13,0.36,0.07,0.06
2025-06-29 12:27:14,0.35,0.11,0.06
2025-06-29 12:28:14,0.36,0.08,0.06
2025-06-29 12:29:15,0.36,0.14,0.06
2025-06-29 12:30:15,0.36,0.1,0.06
2025-06-29 12:31:16,0.37,0.13,0.06
2025-06-29 12:32:16,0.37,0.1,0.06
2025-06-29 12:33:17,0.37,0.12,0.06
2025-06-29 12:34:17,0.37,0.09,0.06
2025-06-29 12:35:18,0.38,0.1,0.06
2025-06-29 12:36:18,0.36,0.11,0.06
2025-06-29 12:37:19,0.34,0.12,0.06
2025-06-29 12:38:19,0.34,0.13,0.06
2025-06-29 12:39:20,0.37,0.1,0.06
2025-06-29 12:40:20,0.37,0.1,0.06
2025-06-29 12:41:21,0.35,0.11,0.06
2025-06-29 12:42:21,0.35,0.1,0.06
2025-06-29 12:43:22,0.35,0.1,0.06
2025-06-29 12:44:22,0.35,0.14,0.06
2025-06-29 12:45:23,0.35,0.13,0.06
2025-06-29 12:46:23,0.37,0.1,0.06
2025-06-29 12:47:15,0.36,0.1,0.06
2025-06-29 12:48:16,0.36,0.15,0.06
2025-06-29 12:49:17,0.36,0.13,0.06
2025-06-29 12:50:17,0.36,0.1,0.06
2025-06-29 12:51:18,0.38,0.1,0.06
2025-06-29 12:52:18,0.37,0.08,0.06
2025-06-29 12:53:19,0.38,0.12,0.06
2025-06-29 12:54:19,0.36,0.12,0.06
2025-06-29 12:55:20,0.37,0.09,0.06
2025-06-29 12:56:20,0.36,0.11,0.06
2025-06-29 12:57:21,0.37,0.13,0.06
2025-06-29 12:58:21,0.37,0.09,0.06
2025-06-29 12:59:22,0.36,0.1,0.06
2025-06-29 13:00:22,0.38,0.11,0.06
2025-06-29 13:01:23,0.38,0.13,0.06
2025-06-29 13:02:23,0.39,0.11,0.06
2025-06-29 13:03:24,0.38,0.12,0.06
2025-06-29 13:04:24,0.36,0.11,0.06
2025-06-29 13:05:25,0.38,0.08,0.06
2025-06-29 13:06:25,0.38,0.08,0.06
2025-06-29 13:07:26,0.38,0.13,0.06
2025-06-29 13:08:26,0.37,0.15,0.06
2025-06-29 13:09:27,0.35,0.1,0.06
2025-06-29 13:10:27,0.36,0.11,0.06
2025-06-29 13:11:28,0.38,0.12,0.06
2025-06-29 13:12:29,0.38,0.08,0.06
2025-06-29 13:13:29,0.37,0.13,0.06
2025-06-29 13:14:30,0.36,0.12,0.06
2025-06-29 13:15:30,0.36,0.11,0.06
2025-06-29 13:16:31,0.39,0.11,0.06
2025-06-29 13:17:31,0.36,0.1,0.06
2025-06-29 13:18:32,0.36,0.12,0.06
2025-06-29 13:19:32,0.36,0.11,0.06
2025-06-29 13:20:33,0.38,0.09,0.06
